,TCP UL/DL (Bytes),Avg RTT UL/DL (ms),Avg Bearer UL/DL (kbps),clusters
0,21569572.935152996,46.0,76.0,0
1,21569572.935152996,31.0,99.0,0
2,21569572.935152996,35.32576582180065,97.0,0
3,760724.6648110661,84.0,248.0,0
4,30940404.935152996,119.0,56844.0,0
5,22331991.59996406,59.325765821800644,7908.0,0
6,21679804.935152996,53.0,42513.0,0
7,759936.6648110661,52.0,1247.0,0
8,43139145.87030599,70.6515316436013,189.0,0
9,20811208.27034193,62.0,146.0,0
10,21569572.935152996,29.0,77.0,0
11,14594645.0,160.0,19256.0,0
12,21569572.935152996,53.0,69.0,0
13,21569572.935152996,35.32576582180065,15.0,0
14,21569572.935152996,35.32576582180065,98.0,0
15,792576.6648110661,41.0,890.0,0
16,21569572.935152996,20.0,104.0,0
17,2325497.0,60.0,38190.0,0
18,21569572.935152996,49.0,75.0,0
19,21569572.935152996,18.0,149.0,0
20,22818795.27034193,988.0,8723.0,0
21,21571951.935152996,121.32576582180064,159.0,0
22,20811208.27034193,61.0,100.0,0
23,21569572.935152996,35.32576582180065,128.0,0
24,21569572.935152996,40.0,68.0,0
25,21569572.935152996,21.0,99.0,0
26,21569572.935152996,36.0,109.0,0
27,21569572.935152996,31.0,102.0,0
28,760988.6648110661,56.0,12768.0,0
29,50942706.87030599,321.6515316436013,56446.0,0
30,21569572.935152996,29.0,80.0,0
31,21589263.935152996,96.0,24947.0,0
32,21569572.935152996,35.32576582180065,134.0,0
33,43139145.87030599,160.0,180.0,0
34,43139145.87030599,84.0,158.0,0
35,21569572.935152996,35.32576582180065,97.0,0
36,1836731.0,55.0,46431.0,0
37,43139145.87030599,116.0,126.0,0
38,21569572.935152996,39.0,132.0,0
39,4017248.6648110664,56.0,4636.0,0
40,31013.0,33.0,62865.0,0
41,28959.0,32.0,2903.0,0
42,43139145.87030599,117.0,102.0,0
43,43139145.87030599,70.6515316436013,194.0,0
44,22720542.935152996,76.0,46555.0,0
45,21569572.935152996,35.32576582180065,15.0,0
46,21569572.935152996,42.0,593.0,0
47,87554.0,361.0,488.0,0
48,23876790.935152996,91.0,108421.0,0
49,153844.0,220.0,8970.0,0
50,21569572.935152996,32.0,108.0,0
51,21647912.935152996,107.0,92677.0,0
52,43139145.87030599,56.0,233.0,0
53,21569572.935152996,29.0,144.0,0
54,21569572.935152996,35.32576582180065,96.0,0
55,21569572.935152996,69.0,76.0,0
56,21569572.935152996,41.0,97.0,0
57,45251413.87030599,193.0,77144.0,0
58,21569572.935152996,27.0,96.0,0
59,789898.6648110661,43.0,53211.0,0
60,21569572.935152996,24.0,92.0,0
61,764490.6648110661,80.0,45577.0,0
62,21904426.935152996,113.0,109597.0,0
63,21569572.935152996,36.0,80.0,0
64,21569572.935152996,56.0,98.0,0
65,224233246.935153,85.0,1707.0,0
